timestamp,customer_id,session_id,query_length_chars,response_length_chars,estimated_cost_usd,guardrail_triggered
2025-02-24T09:14:22Z,cust_0003,sess_a1b2c3,142,890,0.0131,no
2025-02-24T09:47:05Z,cust_0003,sess_a1b2c3,98,1120,0.0148,no
2025-02-24T10:22:31Z,cust_0008,sess_d4e5f6,205,740,0.0122,no
2025-02-24T10:55:44Z,cust_0003,sess_a1b2c3,177,980,0.0139,no
2025-02-24T11:18:09Z,cust_0008,sess_d4e5f6,133,850,0.0127,no
2025-02-24T11:34:52Z,cust_0019,sess_g7h8i9,88,610,0.0108,no
2025-02-24T13:02:17Z,cust_0019,sess_g7h8i9,114,790,0.0125,no
2025-02-24T13:45:33Z,cust_0008,sess_d4e5f6,160,920,0.0135,no
2025-02-24T14:11:08Z,cust_0003,sess_a1b2c3,92,680,0.0114,no
2025-02-24T15:03:44Z,cust_0019,sess_g7h8i9,201,1050,0.0151,no
2025-02-24T15:47:22Z,cust_0008,sess_d4e5f6,118,730,0.0118,no
2025-02-24T16:28:55Z,cust_0003,sess_a1b2c3,145,870,0.0129,no
2025-02-25T02:07:13Z,cust_0042,sess_j0k1l2,312,1840,0.0241,no
2025-02-25T02:09:44Z,cust_0042,sess_j0k1l2,287,1760,0.0234,no
2025-02-25T02:11:05Z,cust_0042,sess_j0k1l2,304,1810,0.0238,no
2025-02-25T02:12:29Z,cust_0042,sess_j0k1l2,298,1790,0.0235,no
2025-02-25T02:13:51Z,cust_0042,sess_j0k1l2,315,1850,0.0243,no
2025-02-25T02:15:02Z,cust_0042,sess_j0k1l2,289,1770,0.0232,no
2025-02-25T02:16:18Z,cust_0042,sess_j0k1l2,307,1820,0.0239,no
2025-02-25T02:17:33Z,cust_0042,sess_j0k1l2,294,1800,0.0236,no
2025-02-25T02:18:47Z,cust_0042,sess_j0k1l2,301,1830,0.0240,no
2025-02-25T02:20:01Z,cust_0042,sess_j0k1l2,318,1860,0.0244,no
2025-02-25T02:21:14Z,cust_0042,sess_j0k1l2,285,1750,0.0230,no
2025-02-25T02:22:28Z,cust_0042,sess_j0k1l2,310,1840,0.0241,no
2025-02-25T02:23:42Z,cust_0042,sess_j0k1l2,296,1780,0.0234,no
2025-02-25T02:24:55Z,cust_0042,sess_j0k1l2,303,1810,0.0237,no
2025-02-25T02:26:08Z,cust_0042,sess_j0k1l2,291,1770,0.0232,no
2025-02-25T02:27:21Z,cust_0042,sess_j0k1l2,309,1830,0.0240,no
2025-02-25T02:28:35Z,cust_0042,sess_j0k1l2,299,1800,0.0236,no
2025-02-25T02:29:48Z,cust_0042,sess_j0k1l2,305,1820,0.0238,no
2025-02-25T02:31:01Z,cust_0042,sess_j0k1l2,313,1850,0.0242,no
2025-02-25T02:32:14Z,cust_0042,sess_j0k1l2,288,1760,0.0231,no
2025-02-25T02:33:27Z,cust_0042,sess_j0k1l2,306,1840,0.0241,no
2025-02-25T02:34:41Z,cust_0042,sess_j0k1l2,293,1780,0.0233,no
2025-02-25T02:35:54Z,cust_0042,sess_j0k1l2,302,1810,0.0237,no
2025-02-25T02:37:07Z,cust_0042,sess_j0k1l2,319,1860,0.0244,no
2025-02-25T02:38:20Z,cust_0042,sess_j0k1l2,286,1750,0.0229,no
2025-02-25T02:39:34Z,cust_0042,sess_j0k1l2,311,1840,0.0241,no
2025-02-25T02:40:47Z,cust_0042,sess_j0k1l2,297,1790,0.0235,no
2025-02-25T02:42:00Z,cust_0042,sess_j0k1l2,304,1820,0.0238,no
2025-02-25T10:15:07Z,cust_0031,sess_m3n4o5,189,1020,0.0142,no
2025-02-25T11:02:39Z,cust_0031,sess_m3n4o5,144,870,0.0129,no
2025-02-25T13:18:24Z,cust_0031,sess_m3n4o5,167,940,0.0133,no
2025-02-25T14:50:11Z,cust_0031,sess_m3n4o5,121,780,0.0121,no
2025-02-26T09:30:00Z,cust_0099,sess_p6q7r8,5124,2310,0.0892,no
2025-02-26T09:47:15Z,cust_0099,sess_p6q7r8,5307,2280,0.0904,no
2025-02-26T10:04:33Z,cust_0099,sess_p6q7r8,5089,2340,0.0887,no
2025-02-26T10:21:48Z,cust_0099,sess_p6q7r8,5441,2290,0.0918,no
2025-02-26T10:39:05Z,cust_0099,sess_p6q7r8,5215,2320,0.0899,no
2025-02-26T10:56:22Z,cust_0099,sess_p6q7r8,5378,2300,0.0910,no
2025-02-26T11:13:39Z,cust_0055,sess_s9t0u1,103,720,0.0116,no
2025-02-26T11:44:18Z,cust_0055,sess_s9t0u1,128,810,0.0123,no
2025-02-26T13:05:44Z,cust_0055,sess_s9t0u1,95,690,0.0113,no
2025-02-26T14:22:09Z,cust_0055,sess_s9t0u1,150,880,0.0131,no
2025-02-26T15:38:55Z,cust_0055,sess_s9t0u1,112,750,0.0118,no
2025-02-27T09:22:33Z,cust_0078,sess_v2w3x4,174,930,0.0134,no
2025-02-27T10:11:48Z,cust_0078,sess_v2w3x4,138,840,0.0127,no
2025-02-27T11:00:02Z,cust_0088,sess_y5z6a7,201,1080,0.0152,yes
2025-02-27T11:14:17Z,cust_0088,sess_y5z6a7,185,1040,0.0147,yes
2025-02-27T11:28:33Z,cust_0088,sess_y5z6a7,220,1110,0.0156,yes
2025-02-27T11:42:48Z,cust_0088,sess_y5z6a7,197,960,0.0140,no
2025-02-27T11:57:04Z,cust_0088,sess_y5z6a7,213,1090,0.0154,yes
2025-02-27T12:11:19Z,cust_0088,sess_y5z6a7,189,1010,0.0143,yes
2025-02-27T13:25:34Z,cust_0088,sess_y5z6a7,204,1060,0.0150,yes
2025-02-27T13:39:50Z,cust_0088,sess_y5z6a7,178,980,0.0139,no
2025-02-27T13:54:05Z,cust_0088,sess_y5z6a7,225,1120,0.0158,yes
2025-02-27T14:08:20Z,cust_0078,sess_v2w3x4,156,900,0.0132,no
2025-02-27T15:22:35Z,cust_0078,sess_v2w3x4,119,770,0.0120,no
2025-02-28T09:05:11Z,cust_0003,sess_b8c9d0,133,860,0.0128,no
2025-02-28T10:30:44Z,cust_0003,sess_b8c9d0,108,730,0.0117,no
2025-02-28T11:55:17Z,cust_0019,sess_e1f2g3,162,910,0.0133,no
2025-02-28T13:20:50Z,cust_0019,sess_e1f2g3,97,670,0.0112,no
2025-02-28T14:45:23Z,cust_0019,sess_e1f2g3,184,1000,0.0144,no
2025-03-01T02:51:08Z,cust_0042,sess_h4i5j6,295,1800,0.0236,no
2025-03-01T02:52:21Z,cust_0042,sess_h4i5j6,308,1830,0.0240,no
2025-03-01T02:53:35Z,cust_0042,sess_h4i5j6,282,1760,0.0230,no
2025-03-01T02:54:48Z,cust_0042,sess_h4i5j6,314,1850,0.0243,no
2025-03-01T02:56:01Z,cust_0042,sess_h4i5j6,290,1770,0.0232,no
2025-03-01T02:57:14Z,cust_0042,sess_h4i5j6,303,1810,0.0238,no
2025-03-01T02:58:28Z,cust_0042,sess_h4i5j6,317,1860,0.0244,no
2025-03-01T02:59:41Z,cust_0042,sess_h4i5j6,287,1770,0.0232,no
2025-03-01T03:00:54Z,cust_0042,sess_h4i5j6,300,1820,0.0238,no
2025-03-01T03:02:07Z,cust_0042,sess_h4i5j6,311,1840,0.0241,no
2025-03-01T03:03:20Z,cust_0042,sess_h4i5j6,294,1800,0.0236,no
2025-03-01T03:04:33Z,cust_0042,sess_h4i5j6,306,1830,0.0240,no
2025-03-01T03:05:47Z,cust_0042,sess_h4i5j6,289,1760,0.0231,no
2025-03-01T03:07:00Z,cust_0042,sess_h4i5j6,319,1860,0.0244,no
2025-03-01T03:08:13Z,cust_0042,sess_h4i5j6,298,1790,0.0235,no
2025-03-01T03:09:26Z,cust_0042,sess_h4i5j6,305,1820,0.0238,no
2025-03-01T03:10:39Z,cust_0042,sess_h4i5j6,284,1750,0.0229,no
2025-03-01T03:11:52Z,cust_0042,sess_h4i5j6,312,1840,0.0241,no
2025-03-01T03:13:05Z,cust_0042,sess_h4i5j6,296,1790,0.0234,no
2025-03-01T03:14:18Z,cust_0042,sess_h4i5j6,309,1830,0.0240,no
2025-03-01T03:15:31Z,cust_0042,sess_h4i5j6,292,1770,0.0233,no
2025-03-01T03:16:44Z,cust_0042,sess_h4i5j6,316,1850,0.0243,no
2025-03-01T03:17:57Z,cust_0042,sess_h4i5j6,286,1760,0.0230,no
2025-03-01T03:19:10Z,cust_0042,sess_h4i5j6,302,1810,0.0237,no
2025-03-01T03:20:23Z,cust_0042,sess_h4i5j6,313,1840,0.0241,no
2025-03-01T03:21:37Z,cust_0042,sess_h4i5j6,291,1770,0.0232,no
2025-03-01T03:22:50Z,cust_0042,sess_h4i5j6,307,1820,0.0239,no
